Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
40  	B♭; B♭-f'  	Coleman 	(M) Hey There, Good Times (I Love my Wife) (cut duet section) 	I Love my Wife: Vocal Selections 	Hal Leonard HL00313371 
41  	C; g'c"  	Ellison 	Whisper It to Me (Fiver) (high C optional) 	Single edition (ebook) 	fivermusical.co.uk 
42  	A; b-d"  	Flaherty 	Waiting for Life (Once on this Island) 	Contemporary Musical Theatre for Teens: Young Women's Edition vol. 2 	Hal Leonard HL00129886 
43  	C; c'-f"  	Gershwin 	(I’ll Build a) Stairway to Paradise (George White’s Scandals of 1922) 	The Best of George Gershwin and Ira Gershwin 	Faber 0571525768 
44  	E♭; e♭'-f"  	Gershwin 	Fascinatin’ Rhythm (Lady, be Good!) 	The Best of George Gershwin and Ira Gershwin 	Faber 0571525768 
45  	G; b-e"  	Gershwin 	Nice Work If You Can Get It (A Damsel in Distress) 	The Best of George Gershwin and Ira Gershwin 	Faber 0571525768 
46  	C; f#-d♭"  	Hood 	(F) My Brother Lived in San Francisco (Elegies for Angels, Punks and Raging Queens) 	The Contemporary Singing Actor (Women's Voices) vol. 1 	Hal Leonard HL00740192 
47  	G; e-c"  	Kander 	(F) Maybe This Time (Cabaret) 	The Singer’s Musical Theatre Anthology vol. 3 (Mezzo-Soprano) 	Hal Leonard HL00740123 
48  	A; c#-g'  	Kander 	(M) Mr Cellophane (Chicago) 	The Singer’s Musical Theatre Anthology vol. 3 (Tenor) 	Hal Leonard HL00740124 
49  	C; c'-e♭"  	Kander 	(F) Roxie (Chicago) 	Chicago the Musical: Vocal Selections 	Faber 0571528651 
50  	D♭; A♭-a♭' 	Lloyd Webber 	(M) Music of the Night (The Phantom of the Opera) 	The Singer’s Musical Theatre Anthology vol. 2 (Tenor) 	Hal Leonard HL00747032 
51  	B♭; b♭-c"  	Loesser 	(F) Take Back your Mink (Guys and Dolls) 	The Singer’s Musical Theatre Anthology vol. 1 (Mezzo-Soprano) 	Hal Leonard HL00361072 
52  	G; d'-g"  	Loewe 	(F) Show Me (My Fair Lady) 	The Singer’s Musical Theatre Anthology vol. 1 (Soprano) 	Hal Leonard HL00361071 
53 	G; b-g"  [E♭]  	Lopez & Marx 	(M) Purpose (Avenue Q) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
54  	D; b-d''  	Margoshes 	(F) Think of Meryl Streep (Fame the Musical) 	Fame the Musical 	Alfred 28453 
55  	C; B-f'  	Menken 	(M) If I Can’t Love Her (Beauty and the Beast) 	The Singer’s Musical Theatre Anthology vol. 3 (Baritone/Bass) or Contemporary Disney (2nd edition) 	Hal Leonard HL00740125 or HL00313169 
56  	E♭; b♭-d♭" 	 Miranda 	Everything I Know (In the Heights) 	21st Century Musical Theatre: Women's Edition 	Hal Leonard HL00262376 
57  	C; g-e"  	Pasek & Paul 	Before It's Over (Dogfight) 	Single edition (ebook) 	musicnotes.com/ sheetmusic/MN01 24116 
58  	B♭; f-f"  	Richmond 	Stupid with Love (Mean Girls) 	MeanVocalGirls: Selections 	Hal Leonard HL00287380 
59  	A; e-a’  	Schönberg 	(M) Bring Him Home (Les Misérables) 	The Singer’s Musical Theatre Anthology vol. 2 (Tenor) 	Hal Leonard HL00747032 
60  	A-g'  	Schönberg 	(M) Empty Chairs at Empty Tables (Les Misérables) 	The Singer’s Musical Theatre Anthology vol. 2 (Baritone/Bass) 	Hal Leonard HL00747033 
61  	E; B-e'  	Schönberg 	(M) Stars (Les Misérables) 	The Singer’s Musical Theatre Anthology vol. 2 (Baritone/Bass) 	Hal Leonard HL00747033 
62  	Am; G-f#' 	 Schwartz 	(M) In Pursuit of Excellence (Children of Eden) 	Children of Eden: Vocal Selections 	Alfred 0320B 
63  	F; g-c''  	Schwartz 	(F) Popular (Wicked) 	Wicked: Vocal Selections 	Hal Leonard HL00313267 
64  	F; a-c"  	Shaiman 	I Can Hear the Bells (Hairspray) (in full – not optional ending) 	21st Century Musical Theatre: Women's Edition 	Hal Leonard HL00262376 
65 	Am;  d'-f#" 	Simon 	(M) Winter's on the Wing (The Secret Garden) 	The Secret Garden: Vocal Selections or Broadway Presents! Teens' Musical Theatre Anthology (Male Edition) 	Alfred VF1792 or Alfred 32027 
66  	C; c'-e♭" 	 Sondheim 	(F) Another Hundred People (Company) 	The Singer’s Musical Theatre Anthology vol. 2 (Mezzo-Soprano) 	Hal Leonard HL00747031 
67  	F; c-f'  	Sondheim 	(M) Good Thing Going (Merrily We Roll Along) 	The Singer’s Musical Theatre Anthology vol. 2 (Baritone/Bass) or The Smash Broadway Collection 	Hal Leonard HL00747033 or Alfred MFM0001 
