Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
178 	F; d'-f" [D] 	Bononcini 	Per la gloria d’adorarvi  Alfred 3402 (ornaments must  (medium high), be included, either  26 Italian Songs and Arias  3403 (medium those published or  low) (with CD: candidate’s own)  3396/3397) 
179 	F; c-d' 	Bononcini 	(M) Pupille nere  The New Imperial  Boosey (in Italian only)  Edition of Bass Songs  M051904501 
180 	D; c#'-f#" (a'') 	Donizetti 	La conocchia (Nuits d'été à Pausilippe) 	The Language of Song: Advanced - high voice or Composizioni da camera vol. 1 	Faber 0571530753 or Ricordi NR13033000 
181 	Cm; f'-f" [A♭m] 	Dvořák 	Oh, Lord, Have Mercy and Turn Thou Thy Face to Me 	Biblical Songs, op. 99 	Bärenreiter Praha H1758 (high), H1560 (low) 
182 	E; e'-f#" [B] 	Dvořák 	Oh, my Shepherd is the Lord 	Biblical Songs, op. 99 	Bärenreiter Praha H1758 (high), H1560 (low) 
183 	G; e'-g" 	Elwyn- Edwards 	Y Gwanwyn (Spring) (in Welsh only) 	Caneuon y Tymhorau (Songs of the Seasons) 	Curiad 9003 
184  	Gm; d'-a"  	Granados 	Amor y odio 	Anthology of Spanish Song 	Hal Leonard HL00740147 (high), HL00740148 (low) 
185 	Dm; G-d' 	Legrenzi 	(M) Cessa d’esser amante 	Three Cantatas 	Green Man Leg1 
186 	A; e'-f#" [F] 	Scarlatti 	Le violette 	26 Italian Songs and Arias 	Alfred 3402 (medium high), 3403 (medium low) (with CD: 3396/3397) 
187 	F; c-e♭' 	Sibelius 	Verirrt, op. 17 no. 4 (in Finnish, German or English) 	15 Selected Songs 	Breitkopf EB6943 
188 	A; d-g' 	Stradella 	(M) Region sempre addita 	Arie Antiche vol. 1 	Ricordi NR05025100 
189 	E♭; d'-g" [C] 	Tchaikovsky 	None but the Lonely Heart, op. 6 no. 6 (in Russian or English) 	Songs vol. 1 (high) or Songs vol. 2 (low) 	Boosey M060097980 (high) or M060097997 (low) 
190 	Bm; d'-f#" [Gm] 	Viardot 	Canción de la infanta 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
191  	F; a-e"  	Villa-Lobos 	Tu passaste por este jardin 	Tu passaste por este jardin (Chansons typiques brésiliennes) 	Eschig ME00261000 


					
